Artical Id,Artical Title,Artical Data,,,,,
1,"[""'Your No. 28 jersey was ... ': PM Modi to ex-hockey captain Rani Rampal""]","[""Prime Minister Narendra Modi praised Rani Rampal former India women's hockey captain for her 16-year career and contributions to the sport. Rani who scored 205 goals in 254 matches retires as one of India's most decorated players and will now mentor sub-junior players. Modi highlighted her remarkable performance at the Tokyo 2021 Olympics.Read More"""," 'Rani Rampal (Image credit: Hockey India)NEW DELHI: Prime Minister Narendra Modi praised former India women\'s hockey captain Rani Rampal for her contributions to the sport. Rani announced her retirement on Thursday concluding a 16-year career in hockey. She rose to prominence from a small town in Haryana and became one of the most decorated hockey players in India.The 29-year-old led the women\'s team to achieve their best-ever finish at the Olympics securing fourth place at the 2021 Tokyo Games.""In Indian women\'s hockey your number 28 jersey was synonymous with unmatched skill and unstoppable goals. While it won\'t be seen on the field again the memories that you gave us as one of the country\'s most decorated players will always be cherished"" Modi wrote in his letter to Rani posted on social media by Hockey India.  BY TABOOLASPONSORED LINKSYOU MAY LIKEKukshi: Discover Extra Income with Amazon CFDFXRD-PlusLearn More""Being one of the youngest players to ever play the game you brought a new energy to the team when you made your debut. Since then as a forward you have pierced through defences outsmarted goalkeepers and scored over 200 goals with clinical precision"" the PM added.Rani made her international debut in 2008 as a 14-year-old in the Olympic qualifiers that year and scored 205 goals in her 254 outings for India.She was honoured with the Major Dhyan Chand Khel Ratna Award in 2020 and was also a recipient of the Padma Shri the country\'s fourth highest civilian award in the same year.""The way your performance played a crucial role in India\'s victories in multiple Asia Cup editions your \'best young player\' and \'player of the tournament\' performances at various international tournaments the medal in 2018 Asian Games -- these are just a few examples of the glorious memories that you have given to lovers of hockey"" said Modi.The PM especially appreciated her performance at the 2021 Tokyo Olympics which he said had left a lasting legacy.""As a captain having led India with remarkable determination on the biggest stages you leave behind a great legacy of many medals and memories. Your game and leadership at the Tokyo Olympics are particularly remembered by one and all. The team\'s spirited run at the tournament enthused fans and the younger generation of players.""Rani was recently roped in as the national coach for sub-junior women players.""It is heartening to see that you\'ll stay close to the game taking on the role of a mentor for future players. This new chapter is a fantastic opportunity for them to learn from one of the best in the sport"" the PM added.']",,,,
,,,,,,,
2,"[""Salima Tete named India captain for women's Asian Champions Trophy""]","[""Salima Tete has been named captain of the Indian women's hockey team for the Asian Champions Trophy in Bihar with Navneet Kaur as vice-captain. India the defending champions will compete against teams like China and Japan from November 11-20. The squad includes experienced players and young talents aiming to retain their title."""," 'Salima TeteNEW DELHI: The Indian women\'s hockey team has appointed Salima Tete as captain for the upcoming Asian Champions Trophy set to take place from November 11 to 20 at the Rajgir Hockey Stadium in Bihar. Navneet Kaur will serve as vice-captain.The tournament features India competing against China Japan Korea Malaysia and Thailand for regional supremacy. India will begin their campaign against Malaysia on November 11.Captain Tete expressed her enthusiasm stating ""It\'s an incredible feeling to lead the team into another major tournament especially as defending champions. We have trained rigorously and have a strong unit with both experienced players and young talent. Our goal is to defend our title and play with the same passion and determination we showed last year.""The team includes goalkeepers Savita and Bichu Devi Kharibam. Defenders are Udita Jyoti Vaishnavi Vitthal Phalke Sushila Chanu Pukhrambam and Ishika Chaudhary. Midfielders consist of Neha Salima Tete Sharmila Devi Manisha Chauhan Sunelita Toppo and Lalremsiami. The forwards are Navneet Kaur Preeti Dubey Sangita Kumari Deepika and Beauty Dungdung.Vice-captain Navneet Kaur indicated confidence in their preparation stating ""We are confident in our preparation and the chemistry we\'ve built within the team. Playing in front of our home crowd is a huge boost and we are ready to face tough competition from the best teams in Asia. Working alongside Salima has been great and we are determined to make this tournament a memorable one.""India enters the tournament as the defending champions after winning the title last year in Ranchi.India:Goalkeepers: Savita Bichu Devi Kharibam.Defenders: Udita Jyoti Vaishnavi Vitthal Phalke Sushila Chanu Pukhrambam Ishika Chaudhary.Midfielders: Neha Salima Tete Sharmila Devi Manisha Chauhan Sunelita Toppo Lalremsiami.Forwards: Navneet Kaur Preeti Dubey Sangita Kumari Deepika Beauty Dungdung.']",,,,
,,,,,,,
3,['Sultan of Johor Cup: India claim bronze, defeat New Zealand 3-2 in shootout'],"[""India secured the bronze medal at the Sultan of Johor Cup junior men's hockey tournament by defeating New Zealand 3-2 in a shootout. Key saves by goalkeeper Bikramjit Singh and goals from Gurjot Singh Manmeet Singh and Sourabh Anand Kushwaha were crucial in the tense finish following a 2-2 regulation tie."""," ""(Hockey India Photo)Johor Bahru (Malaysia): Goalkeeper Bikramjit Singh showcased nerves of steel making three crucial saves as India outwitted New Zealand 3-2 in a thrilling shootout to secure the bronze medal at the Sultan of Johor Cup junior men's hockey tournament on Saturday.After the match ended in a 2-2 stalemate in regulation time strikers Gurjot Singh Manmeet Singh and Sourabh Anand Kushwaha converted their penalties in the tense shootout while Bikramjit made three outstanding saves to secure victory against New Zealand.Earlier in regulation time Dilraj Singh (11') and Manmeet Singh (20') had given India a roaring start but New Zealand thawed India's plans in the final quarter with goals by Owen Brown (51') and Jonty Elmes (57').India got off the blocks with a tactful and compact attack. Swift short passes and skillful dribbling helped them find success as early as in the 11th minute when Dilraj scored from an assist made by Mukesh Toppo to put India ahead 1-0.India controlled the game in the second quarter too. Their defence was on point and stalled New Zealand forwards from creating scoring opportunities.However a defensive error in the 19th minute saw India concede a PC. But the defence line did well to block back-to-back PCs.In the following minute a brilliant display of stickwork and combination between Manmeet Anmol Ekka and Mukesh saw them score a stupendous field goal.The 2-0 lead in the 20th minute put India in good stead. Riding on a good start India created a flurry of chances before the second hooter but they could not extend the lead.While the third quarter was goalless New Zealand bounced back in the fourth quarter scoring two crucial goals that put India's hopes of winning the bronze in a limbo.In the 51st minute Bradley Rothwell assisted Owen Brown from the right flank with a strong cross pass that was perfectly tapped into the net by Brown.Pressing forward hunting for an equaliser New Zealand found success in the 57th minute when Jonty Elmes who scored a hat-trick against India in their previous game struck a field goal to take the match to the shootout.""]",,,
,,,,,,,
4,['Delhi SG Pipers rope in Argentine Lucas Toscani'],"[""Delhi SG Pipers have signed Lucas Toscani to replace injured Christopher Ruhr for the upcoming Hockey India League season. Toscani who debuted for Argentina in 2019 brings experience from the FIH Pro League 2023 Hockey Men's World Cup and the Paris Olympics. Coach Graham Reid praised Toscani's skills and SGSE CEO Mahesh Bhupathi welcomed him as a superb addition."""," 'Lucas ToscaniDelhi SG Pipers has signed Argentina\'s Lucas Toscani for the upcoming Hockey India League season. Toscani replaces Germany’s Christopher Ruhr who is out due to an ACL injury suffered in January during the Paris Olympics qualifiers.Toscani 25 will strengthen the team\'s forward line. He debuted for Argentina in 2019 during the FIH Pro League\'s inaugural season and has since played 60 matches scoring 14 goals. He also represented Argentina in the 2023 Hockey Men\'s World Cup and the 2024 Paris Olympics. Toscani won gold medals with the national team at the 2022 Pan American Cup and the 2023 Pan American Games in Santiago.Delhi SG Pipers\' coach Graham Reid expressed disappointment over Ruhr\'s injury but praised Toscani. “Really disappointed that Christopher is injured and therefore not able to play for us. But I\'m really hopeful he\'ll be able to join us next year and the year after. But I think Lucas is going to be fantastic"" Reid said. He added that Toscani has ""really good skills"" and will complement the team\'s attacking play.  BY TABOOLASPONSORED LINKSYOU MAY LIKEKukshi: Discover Extra Income with Amazon CFDFXRD-PlusLearn MoreSGSE CEO Mahesh Bhupathi welcomed Toscani saying “Lucas is a superb addition to the Delhi SG Pipers squad. He is a great player with all-round abilities. He is the best possible replacement for Christopher and we hope he will weave his magic with the stick and score many goals for us.""Delhi SG Pipers is owned by SG Sports Media and Entertainment (SGSE) part of the APL Apollo Group.']",,,,
,,,,,,,
5,['Delhi SG Pipers acquire star Australian defender Corey Weyer in HIL'],"[""Delhi SG Pipers have signed Australian defender Corey Weyer for the upcoming Hockey India League season. Weyer known for his defensive skills and drag-flicking ability replaces Flynn Ogilvie. CEO Mahesh Bhupathi and coach Graham Reid expressed enthusiasm highlighting Weyer's experience and contributions to the squad."""," 'Corey WeyerDelhi SG Pipers have signed Australian defender Corey Weyer for the upcoming Hockey India League (HIL) season. This strategic addition aims to strengthen the team\'s defense and provide a powerful drag-flicking option.Weyer replaces fellow Australian Flynn Ogilvie who withdrew from the league for personal reasons. The 28-year-old defender from Queensland debuted for the Kookaburras in 2017 and was part of the 2024 Paris Olympics squad. Weyer has also played in the 2018 World Cup in Bhubaneswar where Australia won the bronze medal.SG Sports Media and Entertainment (SGSE) CEO Mahesh Bhupathi said ""We welcome Corey to Delhi SG Pipers family. He is a great addition to our team as he is strong defender and his addition will only fortify our backline. As a team we are really excited because we have managed to rope in a top-notch player in the form of Corey.""Weyer\'s international achievements include gold medals at the 2019 Oceania Cup and the 2014 Youth Olympics in Nanjing China. He has 63 caps for the national team and is known for his improved form and physical capabilities.  BY TABOOLASPONSORED LINKSYOU MAY LIKEKukshi: Discover Extra Income with Amazon CFDFXRD-PlusLearn MoreGraham Reid Head Coach of Delhi SG Pipers commented “Corey is a great defender and a world-class distributor of the ball. He also brings with him an extra dragflicking option. Weyer\'s selection for the Delhi SG Pipers aligns with the team\'s goal of bolstering the defence with a player who has proven himself at the highest level of international hockey.”']",,,,
,,,,,,,
6,['Proud that I could wear the India colours for 15 years: Rani Rampal'],['Forward Rani Rampal one of India’s top women’s hockey players has retired at 29 ending a 15-16 year career. Her journey from a challenging childhood to international success includes playing 254 games and missing an Olympic medal. Rani is now a mentor in the Hockey India League and aims to help develop young talent.'," 'Rani RampalRani Rampal calls it a day; Hockey India retires her No. 28 jerseyNEW DELHI: Forward Rani Rampal one of India’s most prolific goal scorers in women\'s hockey retired from the game on Thursday ""without any regrets"". Hailing from a poor family Rani picked up sports at an early age in her village Shahabad Markanda in Haryana and went on to become the undisputed queen of the sport in the country as she helped the team win many international medals including two in the Asian Games. She came close to adding an Olympic medal to her kitty when the Indian team finished fourth at the 2020 Tokyo Olympics.Before officially announcing her retirement the 29-year-old spoke to a select group of journalists and talked about her journey her achievements and the future ahead. Excerpts...  BY TABOOLASPONSORED LINKSYOU MAY LIKEAmazon CFD: Your Route to a Second IncomeFXRD-PlusLearn MoreWhen did you reach this decision that you will not play any further?It was a very difficult decision because it is not easy for any player especially when you have played for 15-16 years for the country. I thought that this is the right time for me because I am already starting my new innings. I have taken up the mentor\'s role in Soorma Hockey Club in Hockey India League. I still feel proud to have played for the country for so many years.How would you look back at your career?It was a great career. There were a lot of good moments some low moments. I had never thought that I would play for the country for so many years. Never thought that this journey will be like this.When I was young like when I was 7 I never thought that I would play 254 games for the country and score so many goals. There are a lot of good moments that will always be with me. There were also a lot of struggles because my childhood was not so good. But the passion never ended.Looking back would you like to make any change given a chance?There are no regrets. Regrets happen when you don\'t give 100% and you think maybe I could have done better.Do you want to make any changes in women\'s hockey in India?There is already a lot of change in women\'s hockey. We used to wonder if there will ever be a women\'s league? But it has started. This will give the players a good exposure. It will also help the kids financially. So a lot of things are changing for good. There are a lot of schemes coming at the grassroots for young kids. But yes I want to see Indian women\'s hockey team on the Olympic podium. I tried a lot for that.Can you tell us one high point and one low point of your career?It is very difficult to tell one point. There are a lot of high points like when I got the Indian jersey for the first time. You cannot explain it in words. I feel proud that I have worn that jersey for 15 years. To represent India in two Olympics three Asian Games three Commonwealth Games is big. There are also low moments like losing in the Tokyo Olympic semifinals.What will be your coaching style attacking or defending?Nothing like that. The philosophy the strategy is decided by the coaching staff together. But whatever we do we will do our best for the players.']",,,,
,,,,,,,
