Artical Id,Artical Title,Artical Data,,,
1,"[""Amazon Prime Video commentator Al Michaels started 'Thursday Night Football' with subtle jab at the Jets""]","[""Al Michaels humorously criticizes the New York Jets' performance while referencing their Halloween-themed all-black uniforms. Despite a promising start with a touchdown by Malachi Corley a mistake turns it into a touchback reflecting the team's continued struggles and desperate need for a win."""," 'Image via Imagn ImagesIt was an all-black throwback uniform for New York Jets playing the Houston Texans. Amazon Prime Video commentator Al Michaels could not resist making a one-liner that joked about the Jets recent woes on the field with their all-black throwback uniform. This team is still not improved despite Jeff Ulbrich changing as a coach. This New York Jets team has gone through dark times for a while now and on the broadcast Michaels criticized the teams poor results with humor.Also Read: Dallas Cowboys QB Dak Prescott said that he feels the Week 9 game against the Falcons is a ""must-win"" for the DallasAl Michaels light-hearted jab at the JetsAl Michaels delivered a light-hearted jab at the Jets that caught some attention. ""Its Halloween night. If youre a Jets fan youve seen this horror movie before"" he quipped. He further added ""The Jets in a moment of darkness as they say choose to wear black tonight on top of it all. The way theyve lost these five games in every manner. Now you got this. Thats something new Michaels said.  BY TABOOLASPONSORED LINKSYOU MAY LIKEAmazon CFD: Your Route to a Second IncomeCPX-RoadLearn MoreIn a scoreless first quarter the Jets managed to break a tie with a 19-yard touchdown run from rookie receiver Malachi Corley. However the play was deceiving as Corley crossed the goal line untouched seemingly dropping the ball before crossing the plane. The review confirmed that if a Jet had picked the ball up it would have been a touchdown. Instead the ball rolled out of bounds resulting in a touchback and a first down for the Texans.Herbstreit immediately asked the obvious question. What in the heck is he thinking? Herbstreit said. Why the urgency for some of these guys to drop the ball? Even if its close. Finish the play. Get it in the end zone. Absolutely Michaels added. You see it time and time again. So the first rush of his career hell remember forever.Keep in mind youre talking about a team thats struggling Herbstreit said. Theyve lost five in a row. Their interim head coach has been the head coach for three games. This is a team thats 2-6. Theyre desperate to get a win. Desperate to do all the little things right. And weve seen the same errors. Especially a big one there where they could be up seven and feeling good about where they are.Also Read: Travis Kelce confidently claims hes never experienced a Dry Spell in the bedroom shares tips on keeping love life alive']",,
Artical Id,Artical Title,Artical Data,,,
2,['New York Jets wide receiver Garrett Wilson makes an incredible catch against Houston Texans'],"[""Garrett Wilson's incredible one-handed catch likened to Michael Jordan's Jumpman logo gave the New York Jets a stunning lead against the Houston Texans. Aaron Rodgers' precise pass and Wilson's acrobatic grab initially ruled incomplete were pivotal in ending the Jets' five-game losing streak boosting their record to 6-3."""," 'Image via APA one-handed grab by wide receiver Garrett Wilson in dazzling style gave the New York Jets the lead. It stunned all the viewers both inside the stadium and on TV. This was a show of his ability and hard work. Aaron Rodgers was airing the ball out to Jets star receiver Wilson in the end zone late; he came down with the catch stretching out in the air like the Michael Jordan ""Jumpman"" logo that enabled him to fall in for the score inside the end zone.Also Read: Im so sick of talking about this s---"": J.J. Watt has priceless reaction to Aaron Rodgers Fountain of Youth Cayenne pepper claimsGarrett Wilson makes jaw-dropping one-handed TD catchThe New York Jets scored their first touchdown against the Houston Texans of the day with five punting attempts and 32 passing yards of the half. A drive that made the next thing happen involved Garrett Wilson one-handed catch and amazing pass. Oh my goodness interim coach Jeff Ulbrich said.Rodgers threw a play into the end zone. Wilson caught it acrobatically on one foot and the shin. The play was called incomplete on the field because it looked as though it landed out of bounds but upon review considered one of the sickest ever. Al Michaels noted ""This is the same field Odell Beckham caught that one-handed grab."" This one might have even been better.Wilson and Adams discussed the game with Amazon Primes Kaylee Hartung discussing their thoughts on the play and their uncertainty about replay reversal. Wilsons confidence in the plays count seemed to align with most fans. ""I wasnt that confident honestly"" Wilson admitted. ""I wasnt that confident. I dont really know exactly what goes into it but they said I had the shin down. You know well take it. Well take it.The Jets secured a win over New York snapping their five-game losing streak. With a 6-3 record the Jets hope for more Jordan in quarterback Wilson. Adams first touchdown since joining the Raiders was positive but Wilsons magic moment could be the key to their success. The Jets need a spark to overcome their current struggles.Also Read: Lets try to get a WNBA team: Patrick Mahomes trying to bring a WNBA team to the Kansas City area']",,
Artical Id,Artical Title,Artical Data,,,
3,['Broncos quarterback Bo Nix has been named the NFL Offensive Rookie of the Month for October'],"[""Bo Nix the Broncos' first-year quarterback was honored as the NFL Offensive Rookie of the Month for October after leading the team to a 3-1 record. He completed 66.7% of his passes for 870 yards with seven touchdowns and one interception along with 149 rushing yards and two touchdowns."""," 'Image via The Denver PostThe Broncos first-year quarterback Bo Nix was named the NFL Offensive Rookie of the Month for October. This marks his third win in franchise history and the first in more than 20 years. Nix joins running backs Mike Anderson and Clinton Portis as the only Bronco to have league-wide honors. He threw for 870 yards seven touchdowns one interception and a 102.7 quarterback rating completing 66.7 percent of his passes.In October Nix led Denver to a 3-1 record averaging 5.1 yards per carry and two touchdowns. He led all rookie quarterbacks in passing touchdowns passing touchdown-to-interception ratio passing yards and rushing touchdowns while also tied for the rookie quarterback lead in wins. He turned the ball over once.Also Read: Dallas Cowboys QB Dak Prescott said that he feels the Week 9 game against the Falcons is a ""must-win"" for the DallasBo Nix was named the NFL Offensive Rookie of the MonthQuarterback Bo Nix was named the NFL Offensive Rookie of the Month for his impressive performance in October. Nix threw for 870 yards and had seven touchdowns and one interception. In addition to the passing he had 29 carries for 149 rushing yards and two touchdowns as the Broncos went 3-1 this month. This month was totally different from September when Nix threw for 660 yards a touchdown and four picks.Hes just getting more comfortable Denver offensive coordinator Joe Lombardi said Thursday. Every bit of experience you get is helpful. Some of the fundamentals become easier  just calling the plays and getting out of the huddle  and you just have more bandwidth for everything else that comes with playing the position. As he gets more and more experience hell get better and better.Nix the 12th overall pick has been a standout player this season completing 28 for 37 with 284 yards and three touchdowns in a 28-14 win over the Carolina Panthers. He has thrown for at least 200 yards in three of the last four games averaging 1530 passing yards eight touchdowns and five interceptions with a 63.2% completion percentage. Nix is the first Broncos player to win a monthly rookie award since outside linebacker Bradley Chubb in 2018.""Hes very much routine driven head coach Sean Payton said Wednesday of Nix.  (Watching) film I think hes further along. I think I said this after the draft process we viewed it as a plus that he had that experience. We also viewed the adversity that he had early on that he came back from (in college as a plus).  And yet that can be a story of a number of players that may not be good enough. In other words that was a plus but the accuracy the arm strength the arm talent the location and then he runs a little bit better than I expected.Also Read: Im so sick of talking about this s---"": J.J. Watt has priceless reaction to Aaron Rodgers Fountain of Youth Cayenne pepper claims']",,
Artical Id,Artical Title,Artical Data,,,
4,['Saquon Barkley Net Worth 2024, current salary and more'],"[""Saquon Barkley currently a running back for the Philadelphia Eagles has established himself as one of the NFL's highest-paid players with a $37.8 million contract. Despite injuries Barkley is notable for his record-setting performances and lucrative endorsements. His recent achievements include impressive game statistics and multiple 'NFC Offensive Player of the Week' titles.Read More""", 'Image via Getty ImagesSaquon Rasul Quevis Barkley is an American professional football running back for the Philadelphia Eagles of the National Football League (NFL). Prior to his entry into the NFL in 2018 Barkley played college football for the Penn State Nittany Lions where he established a number of school records for his offensive production over three seasons before forgoing his senior year to enter the NFL.Also Read: Baker Mayfield Net Worth 2024 current salary and moreSaquon Barkley Net Worth and salary in 2024According to Forbes Saquon Barkleys net worth is estimated to be around $32 million with $48692750 earned from his NFL contracts. He earns $10 million annually from endorsement deals with major brands like Nike Pepsi and Toyota. Barkley has also invested in X2 Performance in 2021 demonstrating his wise investment strategy. He has earned $48692750 from his NFL contracts alone.Barkley has signed a $37.8 million three-year deal with a $11.6 million signing bonus and $26 million guaranteed. The deal offers Barkley $24 million over two years with a cap hit of $3.9 million in 2024 and $13.5 million in 2025 and only $1.5 million guaranteed in 2026. Barkleys contract with the Eagles will pay him $12.6 million annually making him one of the NFLs highest-paid running backs. Only Christian McCaffrey Alvin Kamara and Jonathan Taylor will earn more than Barkley. In addition he can earn an additional $9 million in incentives potentially earning up to $46.75 million over his three-year deal.  BY TABOOLASPONSORED LINKSYOU MAY LIKEMy 4 year old is battling a heart disease. Please save her!Give Hope IndiaLearn MoreA brief about Saquon Barkleys careerSaquon Barkley was selected second overall by the New York Giants in the 2018 NFL draft setting several NFL and team records en route to making the 2018 Pro Bowl and being named the NFL Offensive Rookie of the Year. He faced injuries in the 2020 season but was again named to the Pro Bowl in 2022. Barkley signed a three-year $37.75 million contract with the Philadelphia Eagles on March 13 2024.In his debut he rushed for 109 yards and two touchdowns becoming the first Eagles player to score three touchdowns in their debut since Terrell Owens in 2004. His performance earned him NFC Offensive Player of the Week. In Week 3 he had 17 carries for 147 yards and two touchdowns in a 15-12 win over the Saints. In Week 7 he returned to MetLife Stadium against the Giants rushing for 176 yards and a touchdown in a 28-3 victory earning him NFC Offensive Player of the Week for the second time this season.Also Read: Jameson Williams Net Worth 2024 current salary and more'],
Artical Id,Artical Title,Artical Data,,,
5,"['Travis & Jason Kelce join hands with Boyz II Men for the new holiday single ""Christmas Time (in Cleveland Heights)""']",['Kansas City Chiefs tight end Travis Kelce is expanding his talents beyond football with acting roles in shows like FXs Grotesquerie and a cameo in Happy Gilmore 2. He also participates in a Christmas album alongside his brother Jason featuring R&B group Boyz II Men aiming to raise funds for local charities.'," 'Credit: AP PhotosIn recent weeks Kansas City Chiefs tight end Travis Kelce has been making headlines not only for his stellar performance on the field but also for his exciting ventures into the entertainment world. As a three-time Super Bowl champion and one of the most accomplished tight ends in NFL history Kelce has recently broadened his horizons by taking on acting roles. His appearances on the FX show Grotesquerie and a cameo in the upcoming Happy Gilmore 2 have showcased his versatility beyond football. Additionally he has lent his voice to his brother Jason Kelces Philly Special Christmas album which saw its first release last year.Also Read: Travis Kelce confidently claims hes never experienced a Dry Spell in the bedroom shares tips on keeping love life aliveTravis Kelce and Jason Kelce bring holiday cheer with new Christmas duetThe Kelce brothers musical collaboration first garnered attention in 2023 when they humorously personalized the Pogues Fairytale of New York transforming it into Fairytale of Philadelphia. This playful exchange of sibling rivalry established them as a Christmas-song-singing duo and they are now set to release another track titled Its Christmas Time (In Cleveland Heights). This new song which is part of the third Eagles holiday album A Philly Special Christmas Party was penned specifically for the brothers by Dr. Dogs keyboard player Zach Miller.  BY TABOOLASPONSORED LINKSYOU MAY LIKEMy 4 year old is battling a heart disease. Please save her!Give Hope IndiaLearn MoreIts Christmas Time (in Cleveland Heights) is a heartfelt tribute to the suburb of Cleveland Heights Ohio where the Kelce brothers grew up. This time they are joined by the iconic R&B group Boyz II Men whose smooth harmonies complement the brothers unique vocal styles. The song is set to be released this Friday and marks the first single from the third installment of the Philly Specials series which has previously raised significant funds$3 million last yearbenefiting local charities such as the Childrens Crisis Treatment Center and Childrens Hospital of Philadelphia. The album also features contributions from artists like Stevie Nicks and Mt. Joy.This new duet represents the second original Christmas song crafted by the Philly Specials team since the series launched with Jason Kelce Jordan Mailata and Lane Johnsons A Philly Christmas Special in 2022. The first original track Santas Night was written by Jason Kelce for last years holiday album.Reflecting on the significance of this project Jason Kelce remarked When I hear their voice it kind of reminds me or puts me in that Christmas mood. And to be on the same song as them is ... insane. He also expressed the emotional weight of returning home for the holidays saying Youre home for Thanksgiving or for Christmas and youre like Oh my gosh this place has changed mightily.Describing the song Jason Kelce added Its not a complicated song but I think the sentiment behind it is universal for a lot of people. Its like an R&B version of a Christmas song. His excitement about the project is palpable as he emphasizes the nostalgic feelings it evokes.The full A Philly Special Christmas Party album is scheduled for release on November 29 through Vera Y Records promising to deliver more festive joy and musical cheer just in time for the holiday season.Also Read: ""Its not as easy as what it looked like sitting down on your couch eating chips"": Dolphins QB Tua Tagovailoa slams critics reminding them of the difficulty behind each snap']",,
