Artical Id,Artical Title,Artical Data,
1,"[""'Your No. 28 jersey was ... ': PM Modi to ex-hockey captain Rani Rampal""]","[""Prime Minister Narendra Modi praised Rani Rampal former India women's hockey captain for her 16-year career and contributions to the sport. Rani who scored 205 goals in 254 matches retires as one of India's most decorated players and will now mentor sub-junior players. Modi highlighted her remarkable performance at the Tokyo 2021 Olympics.Read More""",
,,,
2,"[""Salima Tete named India captain for women's Asian Champions Trophy""]"," 'Salima TeteNEW DELHI: The Indian women\'s hockey team has appointed Salima Tete as captain for the upcoming Asian Champions Trophy set to take place from November 11 to 20 at the Rajgir Hockey Stadium in Bihar. Navneet Kaur will serve as vice-captain.The tournament features India competing against China Japan Korea Malaysia and Thailand for regional supremacy. India will begin their campaign against Malaysia on November 11.Captain Tete expressed her enthusiasm stating ""It\'s an incredible feeling to lead the team into another major tournament especially as defending champions. We have trained rigorously and have a strong unit with both experienced players and young talent. Our goal is to defend our title and play with the same passion and determination we showed last year.""The team includes goalkeepers Savita and Bichu Devi Kharibam. Defenders are Udita Jyoti Vaishnavi Vitthal Phalke Sushila Chanu Pukhrambam and Ishika Chaudhary. Midfielders consist of Neha Salima Tete Sharmila Devi Manisha Chauhan Sunelita Toppo and Lalremsiami. The forwards are Navneet Kaur Preeti Dubey Sangita Kumari Deepika and Beauty Dungdung.Vice-captain Navneet Kaur indicated confidence in their preparation stating ""We are confident in our preparation and the chemistry we\'ve built within the team. Playing in front of our home crowd is a huge boost and we are ready to face tough competition from the best teams in Asia. Working alongside Salima has been great and we are determined to make this tournament a memorable one.""India enters the tournament as the defending champions after winning the title last year in Ranchi.India:Goalkeepers: Savita Bichu Devi Kharibam.Defenders: Udita Jyoti Vaishnavi Vitthal Phalke Sushila Chanu Pukhrambam Ishika Chaudhary.Midfielders: Neha Salima Tete Sharmila Devi Manisha Chauhan Sunelita Toppo Lalremsiami.Forwards: Navneet Kaur Preeti Dubey Sangita Kumari Deepika Beauty Dungdung.']",
,,,
3,['Sultan of Johor Cup: India claim bronze," ""(Hockey India Photo)Johor Bahru (Malaysia): Goalkeeper Bikramjit Singh showcased nerves of steel making three crucial saves as India outwitted New Zealand 3-2 in a thrilling shootout to secure the bronze medal at the Sultan of Johor Cup junior men's hockey tournament on Saturday.After the match ended in a 2-2 stalemate in regulation time strikers Gurjot Singh Manmeet Singh and Sourabh Anand Kushwaha converted their penalties in the tense shootout while Bikramjit made three outstanding saves to secure victory against New Zealand.Earlier in regulation time Dilraj Singh (11') and Manmeet Singh (20') had given India a roaring start but New Zealand thawed India's plans in the final quarter with goals by Owen Brown (51') and Jonty Elmes (57').India got off the blocks with a tactful and compact attack. Swift short passes and skillful dribbling helped them find success as early as in the 11th minute when Dilraj scored from an assist made by Mukesh Toppo to put India ahead 1-0.India controlled the game in the second quarter too. Their defence was on point and stalled New Zealand forwards from creating scoring opportunities.However a defensive error in the 19th minute saw India concede a PC. But the defence line did well to block back-to-back PCs.In the following minute a brilliant display of stickwork and combination between Manmeet Anmol Ekka and Mukesh saw them score a stupendous field goal.The 2-0 lead in the 20th minute put India in good stead. Riding on a good start India created a flurry of chances before the second hooter but they could not extend the lead.While the third quarter was goalless New Zealand bounced back in the fourth quarter scoring two crucial goals that put India's hopes of winning the bronze in a limbo.In the 51st minute Bradley Rothwell assisted Owen Brown from the right flank with a strong cross pass that was perfectly tapped into the net by Brown.Pressing forward hunting for an equaliser New Zealand found success in the 57th minute when Jonty Elmes who scored a hat-trick against India in their previous game struck a field goal to take the match to the shootout.""]",
,,,
4,['Delhi SG Pipers rope in Argentine Lucas Toscani']," 'Lucas ToscaniDelhi SG Pipers has signed Argentina\'s Lucas Toscani for the upcoming Hockey India League season. Toscani replaces Germany’s Christopher Ruhr who is out due to an ACL injury suffered in January during the Paris Olympics qualifiers.Toscani 25 will strengthen the team\'s forward line. He debuted for Argentina in 2019 during the FIH Pro League\'s inaugural season and has since played 60 matches scoring 14 goals. He also represented Argentina in the 2023 Hockey Men\'s World Cup and the 2024 Paris Olympics. Toscani won gold medals with the national team at the 2022 Pan American Cup and the 2023 Pan American Games in Santiago.Delhi SG Pipers\' coach Graham Reid expressed disappointment over Ruhr\'s injury but praised Toscani. “Really disappointed that Christopher is injured and therefore not able to play for us. But I\'m really hopeful he\'ll be able to join us next year and the year after. But I think Lucas is going to be fantastic"" Reid said. He added that Toscani has ""really good skills"" and will complement the team\'s attacking play.  BY TABOOLASPONSORED LINKSYOU MAY LIKEKukshi: Discover Extra Income with Amazon CFDFXRD-PlusLearn MoreSGSE CEO Mahesh Bhupathi welcomed Toscani saying “Lucas is a superb addition to the Delhi SG Pipers squad. He is a great player with all-round abilities. He is the best possible replacement for Christopher and we hope he will weave his magic with the stick and score many goals for us.""Delhi SG Pipers is owned by SG Sports Media and Entertainment (SGSE) part of the APL Apollo Group.']",
,,,
5,['Delhi SG Pipers acquire star Australian defender Corey Weyer in HIL']," 'Corey WeyerDelhi SG Pipers have signed Australian defender Corey Weyer for the upcoming Hockey India League (HIL) season. This strategic addition aims to strengthen the team\'s defense and provide a powerful drag-flicking option.Weyer replaces fellow Australian Flynn Ogilvie who withdrew from the league for personal reasons. The 28-year-old defender from Queensland debuted for the Kookaburras in 2017 and was part of the 2024 Paris Olympics squad. Weyer has also played in the 2018 World Cup in Bhubaneswar where Australia won the bronze medal.SG Sports Media and Entertainment (SGSE) CEO Mahesh Bhupathi said ""We welcome Corey to Delhi SG Pipers family. He is a great addition to our team as he is strong defender and his addition will only fortify our backline. As a team we are really excited because we have managed to rope in a top-notch player in the form of Corey.""Weyer\'s international achievements include gold medals at the 2019 Oceania Cup and the 2014 Youth Olympics in Nanjing China. He has 63 caps for the national team and is known for his improved form and physical capabilities.  BY TABOOLASPONSORED LINKSYOU MAY LIKEKukshi: Discover Extra Income with Amazon CFDFXRD-PlusLearn MoreGraham Reid Head Coach of Delhi SG Pipers commented “Corey is a great defender and a world-class distributor of the ball. He also brings with him an extra dragflicking option. Weyer\'s selection for the Delhi SG Pipers aligns with the team\'s goal of bolstering the defence with a player who has proven himself at the highest level of international hockey.”']",
,,,
